channel,background,Co60_100cm,Co60_200cm,Co57_53cm,Co57_30cm,Cs137_100cm,Cs137_200cm
64,3.97,22.394444444444446,9.63888888888889,6.0633333333333335,10.06,23.95,10.605555555555556
65,3.8433333333333333,22.711111111111112,9.838888888888889,5.8933333333333335,9.373333333333333,22.544444444444444,10.266666666666667
66,3.64,22.355555555555554,9.588888888888889,5.803333333333334,8.83,22.916666666666668,10.116666666666667
67,3.92,22.67222222222222,9.244444444444444,5.6,8.083333333333334,22.916666666666668,9.644444444444444
68,3.77,21.622222222222224,8.838888888888889,5.003333333333333,8.03,22.85,10.072222222222223
69,3.513333333333333,21.394444444444446,8.866666666666667,5.293333333333333,8.023333333333333,22.572222222222223,9.988888888888889
70,3.5633333333333335,20.711111111111112,8.994444444444444,5.1866666666666665,7.703333333333333,22.57777777777778,10.266666666666667
71,3.6366666666666667,19.72222222222222,8.4,4.73,7.12,22.572222222222223,10.094444444444445
72,3.3833333333333333,18.466666666666665,7.705555555555556,4.88,6.8,22.538888888888888,9.377777777777778
73,3.453333333333333,17.983333333333334,7.833333333333333,4.743333333333333,6.323333333333333,22.994444444444444,9.344444444444445
74,3.3533333333333335,17.1,7.527777777777778,4.156666666666666,6.04,22.6,9.122222222222222
75,2.92,15.955555555555556,7.377777777777778,4.076666666666667,5.696666666666666,23.266666666666666,9.28888888888889
76,2.986666666666667,14.8,6.788888888888889,3.6366666666666667,5.093333333333334,22.522222222222222,8.866666666666667
77,2.8666666666666667,13.833333333333334,6.6,3.683333333333333,4.81,22.377777777777776,9.116666666666667
78,2.95,13.061111111111112,5.972222222222222,3.6466666666666665,4.456666666666667,23.07777777777778,8.772222222222222
79,2.8233333333333333,11.983333333333333,5.7,3.046666666666667,4.136666666666667,23.35,9.027777777777779
80,2.69,11.383333333333333,5.155555555555556,3.1,3.6866666666666665,24.005555555555556,8.977777777777778
81,2.6466666666666665,10.572222222222223,5.366666666666666,2.9833333333333334,3.4266666666666667,23.511111111111113,8.911111111111111
82,2.4766666666666666,9.805555555555555,4.772222222222222,2.83,3.283333333333333,23.92222222222222,8.477777777777778
83,2.3733333333333335,9.338888888888889,4.8,2.4266666666666667,3.0633333333333335,24.544444444444444,8.822222222222223
84,2.3533333333333335,9.066666666666666,4.4944444444444445,2.4166666666666665,2.8933333333333335,24.88888888888889,8.833333333333334
85,2.296666666666667,8.688888888888888,4.25,2.3566666666666665,2.816666666666667,24.716666666666665,8.616666666666667
86,2.13,8.666666666666666,4.166666666666667,2.3333333333333335,2.6,25.255555555555556,8.266666666666667
87,2.1033333333333335,8.522222222222222,4.144444444444445,2.1566666666666667,2.4033333333333333,25.461111111111112,8.472222222222221
88,2.0966666666666667,8.38888888888889,4.038888888888889,2.236666666666667,2.526666666666667,26.133333333333333,8.705555555555556
89,1.9533333333333334,8.561111111111112,4.1,2.1433333333333335,2.3666666666666667,27.57777777777778,8.705555555555556
90,1.9966666666666666,8.53888888888889,3.8555555555555556,2.12,2.3333333333333335,28.06111111111111,8.738888888888889
91,2.0966666666666667,8.38888888888889,3.95,2.0433333333333334,2.1966666666666668,28.15,9.011111111111111
92,1.8533333333333333,8.55,3.827777777777778,2.0433333333333334,2.2266666666666666,29.155555555555555,9.65
93,1.9566666666666668,8.744444444444444,3.9,2.1566666666666667,2.1766666666666667,29.516666666666666,9.36111111111111
94,2.0033333333333334,8.772222222222222,3.5722222222222224,2.0633333333333335,2.0966666666666667,30.61111111111111,9.555555555555555
95,2.01,9.033333333333333,3.838888888888889,1.9766666666666666,2.1766666666666667,31.155555555555555,9.494444444444444
96,1.7866666666666666,8.255555555555556,3.933333333333333,1.9,2.1733333333333333,30.42222222222222,9.077777777777778
97,1.91,8.716666666666667,3.7055555555555557,1.8366666666666667,1.9766666666666666,30.566666666666666,9.405555555555555
98,1.95,8.927777777777777,3.6777777777777776,1.8733333333333333,1.93,30.355555555555554,9.594444444444445
